ID,Item,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,Total
,試合数,30032,26184,28622,26142,26638,26726,26111,25179,25141,25760,24901,26095,317531
,ラウンド数,147666,137912,153174,133180,136797,127372,124744,129526,131492,143852,143044,137569,1646328
,局面数,1634497,1527426,1696007,1471872,1515622,1410268,1381390,1432941,1456287,1588583,1582757,1521648,18219298

1,門前清自摸和,36731,34318,38284,33068,34068,31631,31080,32423,32983,35786,35377,34049,409798
2,立直,61618,57934,64347,55913,56863,53077,52121,53925,54890,59648,59367,57307,687010
3,一発,12041,11195,12330,10765,11004,10152,10042,10429,10571,11504,11395,11073,132501
4,槍槓,26,29,29,20,16,35,32,33,23,25,22,22,312
5,嶺上開花,362,327,375,296,349,303,294,317,309,339,380,321,3972
6,海底摸月,680,653,674,615,651,558,567,593,590,676,612,594,7463
7,河底撈魚,639,611,643,568,601,515,517,596,590,606,586,601,7073
8,平和,30171,28081,31313,27387,27702,26018,25597,26649,27020,29138,29010,28044,336130
9,断幺九,32558,30371,33778,29478,30314,28196,27249,28614,28834,31936,31530,30539,363397
10,一盃口,5613,5330,5987,5273,5338,4951,4851,5161,5168,5659,5480,5326,64137
11,自風 東,3566,3413,3814,3196,3270,3004,3096,3130,3185,3607,3551,3332,40164
12,自風 南,3251,3102,3391,2897,3035,2789,2782,2860,2869,3210,3287,3043,36516
13,自風 西,2875,2606,3038,2547,2719,2513,2421,2480,2562,2766,2677,2732,31936
14,自風 北,2743,2495,2751,2391,2531,2331,2225,2298,2359,2604,2612,2525,29865
15,場風 東,6479,5948,6695,5600,5859,5471,5342,5645,5605,6212,6378,6095,71329
16,場風 南,5266,4945,5563,4801,4884,4562,4591,4581,4735,5151,5309,4953,59341
17,場風 西,66,53,81,65,68,50,61,54,61,63,53,66,741
18,場風 北,0,0,0,0,0,0,0,0,0,0,0,0,0
19,役牌 白,11432,10604,11887,10513,10642,10043,9743,10262,10273,11296,11286,10662,128643
20,役牌 發,11386,10739,11864,10313,10583,9771,9794,9995,10161,11016,11041,10597,127260
21,役牌 中,11611,10781,12028,10424,10682,10050,9741,10322,10320,11304,11211,10899,129373
22,両立直,273,281,286,267,277,260,246,252,272,289,264,258,3225
23,七対子,4149,3912,4274,3742,3912,3602,3718,3766,3858,4048,4060,4039,47080
24,混全帯幺九,1255,1116,1225,1142,1179,1063,1071,1061,1092,1184,1150,1101,13639
25,一気通貫,2158,1937,2274,1936,2038,1861,1774,1864,1930,2105,2108,2050,24035
26,三色同順,5502,5079,5688,4906,5189,4789,4717,4907,4863,5293,5277,5105,61315
27,三色同刻,44,41,33,44,42,28,37,42,38,40,32,38,459
28,三槓子,5,0,0,2,0,1,2,2,1,1,3,1,18
29,対々和,2241,2056,2216,1939,2105,1914,1847,1969,1987,2020,2057,2035,24386
30,三暗刻,895,875,976,822,907,839,808,828,835,885,892,832,10394
31,小三元,107,117,111,121,127,99,89,105,114,108,97,106,1301
32,混老頭,43,38,42,37,46,34,43,31,30,35,27,31,437
33,二盃口,50,48,57,51,71,45,54,46,42,53,43,49,609
34,純全帯幺九,419,390,396,412,413,364,342,381,360,401,400,375,4653
35,混一色,6733,6338,6750,5956,6310,5658,5841,5944,6053,6680,6767,6381,75411
36,清一色,779,747,771,684,734,685,663,637,702,715,787,695,8599
38,天和,0,0,0,0,0,0,0,0,0,0,0,0,0
39,地和,0,0,0,0,0,0,0,0,0,0,0,0,0
40,大三元,0,0,0,0,0,0,0,0,0,0,0,0,0
41,四暗刻,0,0,0,0,0,0,0,0,0,0,0,0,0
42,四暗刻単騎,0,0,0,0,0,0,0,0,0,0,0,0,0
43,字一色,0,0,0,0,0,0,0,0,0,0,0,0,0
44,緑一色,0,0,0,0,0,0,0,0,0,0,0,0,0
45,清老頭,0,0,0,0,0,0,0,0,0,0,0,0,0
46,九蓮宝燈,0,0,0,0,0,0,0,0,0,0,0,0,0
47,純正九蓮宝燈,0,0,0,0,0,0,0,0,0,0,0,0,0
48,国士無双,0,0,0,0,0,0,0,0,0,0,0,0,0
49,国士無双１３面,0,0,0,0,0,0,0,0,0,0,0,0,0
50,大四喜,0,0,0,0,0,0,0,0,0,0,0,0,0
51,小四喜,0,0,0,0,0,0,0,0,0,0,0,0,0
52,四槓子,0,0,0,0,0,0,0,0,0,0,0,0,0
53,ドラ,56968,53151,59251,51789,52968,49250,48263,49775,50672,55487,55171,52956,635701
54,裏ドラ,61891,58215,64633,56180,57140,53337,52367,54177,55162,59937,59631,57565,690235
55,赤ドラ,63750,59560,66089,57431,58687,54621,53952,55888,56628,61965,61758,59407,709736
